Ticker,Window,Model,Samples,Accuracy,Accuracy_Std,Precision,Recall,Specificity,F-Score,AUC
GM,1,CatBoost,1231,0.6702182284980746,0.06142618174288504,0.713143449988399,0.6592671275700142,0.6561166431636197,0.674574552543713,0.7282834489092453
GM,2,Random Forest,1231,0.6442743820150751,0.07384797137230958,0.6831651777595926,0.6450676623191034,0.6280105940061047,0.6498879780779735,0.7057866518793345
GM,2,XGBoost,1231,0.6158158059313388,0.060282914475425636,0.6568369687493963,0.6324212028071539,0.5687401921802653,0.6177854323956958,0.6808319936096145
GM,2,Gradient Boosting,1231,0.6320331786313814,0.04622703442889514,0.6964194707983528,0.6570439702354063,0.5612506265785215,0.6362154650751333,0.678976436142068
GM,2,LightGBM,1231,0.6328922681939371,0.0576803025432207,0.6853978939630179,0.6352483421725482,0.6037001905606634,0.6314083194900447,0.687354781005144
GM,2,CatBoost,1231,0.6556334551199763,0.06725772550398648,0.7002017716940552,0.6368952971294456,0.6479583595809666,0.6529284314476363,0.7099723834685399
GM,5,Random Forest,1231,0.6344952437378625,0.058751146465757076,0.6573161904352207,0.6719301738157857,0.5626271700053698,0.6433349400401988,0.6734638211804979
GM,5,XGBoost,1231,0.599614890885751,0.08899318187563117,0.6530025440017078,0.5946124726211337,0.5671316375088977,0.5810289120484512,0.6295647492258529
GM,5,Gradient Boosting,1231,0.6093249070142523,0.07773435299761072,0.6518009412228378,0.6337307698709636,0.5194097146741727,0.5792102444325555,0.6422152484065509
GM,5,LightGBM,1231,0.6239458872321517,0.06898054102753026,0.650768760053638,0.6757280058080872,0.5165960605497053,0.626692824994498,0.6475304116056064
GM,5,CatBoost,1231,0.6239327211085877,0.06503774743135318,0.6356185047150278,0.6611304927550166,0.5257266756545238,0.6202810471010629,0.6565853351372788
GM,10,Random Forest,1231,0.6174582798459564,0.06663144770157205,0.6474912974325997,0.6352059092927848,0.5789173240208257,0.6152951852432992,0.6607580638905952
GM,10,XGBoost,1231,0.6101444982061157,0.0763354097702558,0.6691726907605361,0.6031374232455903,0.5887302780147253,0.5764477781989303,0.6596299912840864
GM,10,Gradient Boosting,1231,0.5979790000329153,0.10186018507986976,0.670996123928712,0.590863606922239,0.583021857802924,0.5484584527501779,0.6428858854732525
GM,10,LightGBM,1231,0.6296204864882656,0.09608058844524887,0.685252040373008,0.6270529344497111,0.5821018624454575,0.6012869782735681,0.635153700832313
GM,10,CatBoost,1231,0.5963464007109707,0.06916530084800593,0.6513521284617394,0.625968519454437,0.5262410024943228,0.5725145304250474,0.6174614461854998
GM,15,Random Forest,1231,0.5922188209736348,0.07971089396967027,0.6592117574321431,0.5761533519816597,0.6054917460064148,0.5498689982360855,0.6436689058022305
GM,15,XGBoost,1231,0.6019485862874823,0.08499971685647459,0.6325272475347944,0.6223453776340422,0.5481338387772412,0.572667386275599,0.6475099152838641
GM,15,Gradient Boosting,1231,0.6084427767354597,0.10020791503311434,0.6862863678949236,0.6261337887371101,0.5787028051461384,0.5650123945941244,0.6572021668943778
GM,15,LightGBM,1231,0.6051973272769166,0.1018547095677052,0.6493121344659223,0.6465613650379367,0.5221322116632913,0.5850084519470813,0.6307396807959631
GM,15,CatBoost,1231,0.5930219545110431,0.0738138828144836,0.6291669594495681,0.6615145447364674,0.48780547755625553,0.5637275908238004,0.6004546855143312
TM,1,Random Forest,1231,0.5962805700931503,0.04700647630870555,0.6132344299474715,0.57639719387884,0.6381679909416457,0.5743403467493484,0.6234471285953116
TM,1,XGBoost,1231,0.5605147954313552,0.03371729116326709,0.5702715952001486,0.5325035077888434,0.6036200897999483,0.5374535079745945,0.5936804802888533
TM,1,Gradient Boosting,1231,0.5589447351963399,0.06493739961409432,0.6153861528487401,0.49558018825179906,0.6469797950116364,0.47887163434236024,0.6061707031618565
TM,1,LightGBM,1231,0.5792271485467891,0.030021394474427626,0.584563776265904,0.5672151624814401,0.6094080647562629,0.5600047394580845,0.6204475971072727
TM,1,CatBoost,1231,0.6076396431980514,0.06030018887136212,0.632167335032428,0.568816268209577,0.6551454312513223,0.5832362937440131,0.666329228446063
TM,2,Random Forest,1231,0.5597281195484021,0.03650522695603954,0.5771906129405712,0.5385453744604819,0.5950834319373627,0.5272047907896964,0.5939153172687288
TM,2,XGBoost,1231,0.541032224087423,0.03388199225171857,0.5704971614803163,0.5162161283378136,0.5874882411781849,0.4974258868450316,0.5714169214007951
TM,2,Gradient Boosting,1231,0.5353510417695271,0.05546817014563794,0.6085353517706459,0.4897496313920393,0.5946890126667418,0.46612967202694533,0.5688597188452047
TM,2,LightGBM,1231,0.5653895526809519,0.0370345342831907,0.6040921559012032,0.5310917604015646,0.6161697026146689,0.5293877289869595,0.5887706368557978
TM,2,CatBoost,1231,0.588110990421645,0.06462363566550908,0.6259909784847315,0.5520431656319704,0.6349516506098757,0.5640184853604819,0.6289505356481307
TM,5,Random Forest,1231,0.5076824330996346,0.038826104240499176,0.5552823293918714,0.5417966378219834,0.5006698601364798,0.497544058541866,0.5247275940246192
TM,5,XGBoost,1231,0.47028405911589477,0.06506092164527237,0.49957451030501654,0.42313609329738366,0.5501785097893672,0.42049348827679384,0.4837429300117247
TM,5,Gradient Boosting,1231,0.49388104407359856,0.05079119861663053,0.5581941042246451,0.4635431261007298,0.5500609186768811,0.43578645210743944,0.5128673546669058
TM,5,LightGBM,1231,0.47598169908824595,0.057049977733252294,0.5427390499295613,0.43091401046470174,0.5487510829622962,0.41452729395319954,0.4964444166152995
TM,5,CatBoost,1231,0.5027846351338007,0.05288110406969042,0.5529889158383625,0.570712649485691,0.47780832116660826,0.5165634575978042,0.530338011810355
TM,10,Random Forest,1231,0.47271320891346563,0.06599946008390586,0.48981010682659853,0.46799951484565794,0.49594684377692994,0.42327243710289053,0.47227344667320353
TM,10,XGBoost,1231,0.46294065369803494,0.07458639895213612,0.4987251612346254,0.43722887514327774,0.5086690951724452,0.39696616888280334,0.48039481432094455
TM,10,Gradient Boosting,1231,0.4588953622329746,0.0668032137671869,0.5766002548902686,0.4252170918116781,0.5179155697144983,0.3640192865835585,0.47425221665544787
TM,10,LightGBM,1231,0.45482373852078606,0.07870901555766087,0.5726027251606673,0.42002116665231065,0.5134279032998841,0.36262955120369245,0.45996709678727815
TM,10,CatBoost,1231,0.44344491623053883,0.07864594701485783,0.4696166959810138,0.49143714251198983,0.4451002304531773,0.4083404717920165,0.4715256209915351
TM,15,Random Forest,1231,0.4735196339817649,0.06718033336553435,0.4990626369515258,0.49642274153578114,0.47672903906689673,0.44912762032446085,0.4643057814707259
TM,15,XGBoost,1231,0.47351634245087393,0.07478480703091928,0.5050843223073181,0.4510430410714436,0.5179566091458881,0.4024905252633415,0.45915455473730404
TM,15,Gradient Boosting,1231,0.46378328560613546,0.05538913288247283,0.4787788605736406,0.43396137023927334,0.5438638404073166,0.36782976782667987,0.462601623943362
TM,15,LightGBM,1231,0.4605542938020474,0.06245582367978157,0.4450719192845075,0.40475426435512923,0.5514286665697149,0.35693109733893136,0.4661735533841857
TM,15,CatBoost,1231,0.4662585168361805,0.07138202992170191,0.5069267620041751,0.5025838809807752,0.48414775230461116,0.43612879640394137,0.44068112948405264
HMC,1,Random Forest,1231,0.6359665580461473,0.07138434236400745,0.6686754428620485,0.6207542373588135,0.6538319600275064,0.625344966177814,0.6653170147863986
HMC,1,XGBoost,1231,0.5758961192850794,0.07142351015543807,0.595709782693229,0.5644933026375656,0.578626338066052,0.5495733570117605,0.6237878577841127
HMC,1,Gradient Boosting,1231,0.6051282051282051,0.06045637715907198,0.6339675709507697,0.6399263796990203,0.5617382099516315,0.5936836190168824,0.6491681226548167
HMC,1,LightGBM,1231,0.5929462493005497,0.053989155812631286,0.6117765831952564,0.6187424940876453,0.5678433333360311,0.5842380128519283,0.6418930564396128
HMC,1,CatBoost,1231,0.6351864652249761,0.06957002023047183,0.6574205334307636,0.5953241934054112,0.6722035033934048,0.611771124866442,0.685044538205139
HMC,2,Random Forest,1231,0.577489220236332,0.08300872239668886,0.6165421534986752,0.5162028473101351,0.638660445535326,0.5424569866840863,0.606607785800264
HMC,2,XGBoost,1231,0.5693591389355189,0.07687460953056027,0.5915041770293586,0.5708708235032144,0.5589547432631164,0.5556680232112443,0.5819884916584833
HMC,2,Gradient Boosting,1231,0.566910239952602,0.097676175364225,0.6184721577770332,0.5872002637952792,0.5418258269641044,0.5574411068310383,0.5939430393801738
HMC,2,LightGBM,1231,0.5856061354135809,0.08439657969659631,0.6343252863115775,0.5714820468161221,0.599596462229955,0.5612619541487657,0.6089943984034598
HMC,2,CatBoost,1231,0.6181100029623778,0.08122712968238849,0.6461913353103907,0.5562921983099107,0.670384370015949,0.5839612672250871,0.6330131258977714
HMC,5,Random Forest,1231,0.550686284190777,0.09781326075151692,0.5617197452229299,0.47375670259782715,0.5987550064958966,0.4870877525840546,0.5481007836168545
HMC,5,XGBoost,1231,0.5417497778216649,0.10204910547218948,0.5231437879600269,0.4953452778379225,0.5569254841370641,0.4875661231546933,0.5513646351071271
HMC,5,Gradient Boosting,1231,0.5571837661696455,0.09605139720463397,0.5722339986087881,0.5363967112397972,0.5284652444072003,0.4886973702851057,0.5763069780555682
HMC,5,LightGBM,1231,0.5612257661038148,0.09023599260979712,0.5831687001554079,0.508615070048545,0.5748968730950583,0.4975488834687433,0.5647987603410417
HMC,5,CatBoost,1231,0.5360620124419867,0.09615467418790433,0.5420720642523036,0.4930620735916584,0.5564045685138873,0.4887639507538165,0.5380084188591894
HMC,10,Random Forest,1231,0.5758335801981501,0.10035469416304543,0.6063090375768297,0.4621486958118603,0.6270898844242938,0.46735633928117526,0.5301864741880375
HMC,10,XGBoost,1231,0.5985945163095355,0.08946988590692574,0.6258843769220546,0.5153391270389199,0.6149057049673872,0.4978250105309646,0.572286408804394
HMC,10,Gradient Boosting,1231,0.5791119449656035,0.0721303716773166,0.5648889050775843,0.5111983058687886,0.5746126193707908,0.46939759551333593,0.5845120821480402
HMC,10,LightGBM,1231,0.593742799776176,0.08392622610285295,0.6441944938132462,0.5004829501314532,0.6164800430829139,0.462862813589022,0.5897406225294628
HMC,10,CatBoost,1231,0.5636779566176229,0.07871986453771002,0.6379034657147107,0.4304978058583281,0.6379013649827047,0.41806225938405317,0.5409182606835409
HMC,15,Random Forest,1231,0.5384779961159935,0.0766272003903769,0.6234960984960984,0.41773292143415874,0.6264252142142984,0.3942645999674831,0.5128465141623092
HMC,15,XGBoost,1231,0.5328033968598795,0.07974717374631081,0.4937340307205081,0.4428649671774235,0.5825128134302116,0.39452062510886043,0.5345024816011833
HMC,15,Gradient Boosting,1231,0.5401138869688291,0.08547714875845067,0.5091664359984386,0.4868807653031849,0.5592183972802641,0.41739447098519084,0.5421847832987101
HMC,15,LightGBM,1231,0.561238932227379,0.07134630594979746,0.6523167130972839,0.5113600203480548,0.5771098407645417,0.4491727413859608,0.5938168759100326
HMC,15,CatBoost,1231,0.5246634409663935,0.08605875463463002,0.4188295375087403,0.42479453147857543,0.5942501297353399,0.38765582006413873,0.5192524152044296
NKE,1,Random Forest,1231,0.6353082518679438,0.04427136775502593,0.6410383966398581,0.670411333363394,0.603843357527568,0.6489246692054069,0.6830080418600184
NKE,1,XGBoost,1231,0.5410453902109871,0.0422993685840705,0.551686871888476,0.5798563365426276,0.5237098251604029,0.5500943254186207,0.5904437349966813
NKE,1,Gradient Boosting,1231,0.6174220730061553,0.03790830333864141,0.6225282979141246,0.6487415724169299,0.5963656190998938,0.6267207796854528,0.676537683243675
NKE,1,LightGBM,1231,0.5938777525427076,0.047793127600762104,0.6079271762836931,0.6328606306318669,0.5725790864430145,0.6087127430621895,0.6611992454668202
NKE,1,CatBoost,1231,0.6564695039662947,0.057985835372728965,0.6537708392915254,0.6926117616613832,0.6192596546383453,0.6683668351639407,0.7101571886223825
NKE,2,Random Forest,1231,0.5882031532865936,0.044906787440302534,0.6099169085394383,0.6325200324920629,0.553121708647177,0.6111603480933668,0.6316547085412774
NKE,2,XGBoost,1231,0.5443303380402226,0.049529639168216275,0.571807982809752,0.6355816434976749,0.4813186413770126,0.5831075841717877,0.5814690061568012
NKE,2,Gradient Boosting,1231,0.5825055133142424,0.042063879970089195,0.5969819822183879,0.6648445153481906,0.5115359293558089,0.6177400815181652,0.6150754673220737
NKE,2,LightGBM,1231,0.5500148118890096,0.03987836452580493,0.5771261072261071,0.6052983581144158,0.5167786530810099,0.5755579116719186,0.6115786945624817
NKE,2,CatBoost,1231,0.6426714064711497,0.06450735908407808,0.652281596539661,0.6832869461236581,0.6042799260077139,0.6626820106905031,0.664400423984065
NKE,5,Random Forest,1231,0.5353872486093282,0.037212357906913164,0.5700563087624917,0.5333287030898457,0.5774550100733238,0.5280476381955198,0.562882457907106
NKE,5,XGBoost,1231,0.49959185016951385,0.025399028111690904,0.5275918784467615,0.5677035871091762,0.478442961265719,0.5218657507481488,0.5225397080495284
NKE,5,Gradient Boosting,1231,0.520786017576775,0.04567766418327646,0.5512510088781275,0.5663132949023124,0.5121335578279028,0.5412189349948844,0.5552541225290576
NKE,5,LightGBM,1231,0.5004509397320693,0.047778176483728826,0.54518121540002,0.5522658419905283,0.5101783369572956,0.5126326151678635,0.5437702469500514
NKE,5,CatBoost,1231,0.5695368816036338,0.07016657730379003,0.5900485378426554,0.6037372917911172,0.5641492720207363,0.5763470071225528,0.5993405578760583
NKE,10,Random Forest,1231,0.47767025443533784,0.04308921880866695,0.5119546862959188,0.5457664616609568,0.48014901055510517,0.49148679760483027,0.5464080031484382
NKE,10,XGBoost,1231,0.48011915341825484,0.06671094997790689,0.5088082607506543,0.5430352869326656,0.47351131489916554,0.4953777407573767,0.5240953594666384
NKE,10,Gradient Boosting,1231,0.5069451301800467,0.05614361838301023,0.5328563076385937,0.595981572649534,0.4746090017848582,0.534748162587919,0.5585422586487605
NKE,10,LightGBM,1231,0.497169283433725,0.04227102076166172,0.5265143392448225,0.5812144836929501,0.47218396416558095,0.5229540270810671,0.5572447637095632
